family_id,macro_group,operation_family,short_definition,representative_tools,primary_category,secondary_category_optional,confidence,rationale,boundary_issue,suggested_revision
F01,生成与构造,基础体实例化,从参数化模板实例化几何；生成标准初始体,Blender: 添加网格；Maya: 多边形基础体；3ds Max: 标准基础体；Cinema 4D: 基础对象；ZBrush: 工具基础体,,,,,,
F02,生成与构造,曲线与路径创建,放置控制点或绘制路径；生成可编辑曲线,Blender: 贝塞尔曲线；Maya: CV/EP 曲线工具；3ds Max: 线 / 样条；Cinema 4D: 样条画笔；Houdini: Curve SOP,,,,,,
F03,变换与布局,仿射变换,平移、旋转、缩放矩阵；改变位置、朝向或尺度,Blender: 移动/旋转/缩放、变换操纵器；Maya: 移动/旋转/缩放工具；3ds Max: 选择并移动/旋转/缩放；Cinema 4D: 移动/缩放/旋转；ZBrush: Gizmo 3D,,,,,,
F04,变换与布局,吸附与轴向约束放置,将变换限制到网格、点、曲线或轴；提高放置精度,Blender: 吸附、轴向约束；Maya: 吸附到网格/点/曲线；3ds Max: 吸附开关；Cinema 4D: 吸附；Nomad Sculpt: 吸附,,,,,,
F05,变换与布局,对齐与包围盒匹配,依据轴、中心或包围盒求对齐变换；匹配位置、中心或尺寸,3ds Max: 对齐；Cinema 4D: 轴心中心；ZBrush: Gizmo 对齐；Nomad Sculpt: Gizmo 对齐；Houdini: Match Size,,,,,,
F06,拓扑构造,连通挤出,复制边界并连接侧壁；沿方向或法线延伸体量,Blender: 区域挤出；Maya: 挤出；3ds Max: 可编辑多边形挤出；Cinema 4D: 挤出；Houdini: PolyExtrude SOP,,,,,,
F07,拓扑构造,面内缩与轮廓偏移,在面内生成偏移边界；形成内嵌轮廓或边框,Blender: 内插面；Maya: 挤出偏移流程；3ds Max: 内插；Cinema 4D: 内部挤出；Houdini: PolyInset 工作流,,,,,,
F08,拓扑构造,边角倒角与圆角,截去尖角并插入过渡面；软化或切平边角,Blender: 倒角；Maya: 倒角；3ds Max: 切角；Cinema 4D: 倒角；Houdini: PolyBevel SOP,,,,,,
F09,拓扑构造,边插入与环切,在现有面上插入连续边；增加局部控制线,Blender: 环切；Maya: 插入边环 / 多重切割；3ds Max: 快速环切 / 连接；Cinema 4D: 环切/路径切割；Houdini: PolySplit,,,,,,
F10,拓扑构造,自由路径切割,按用户路径在表面插入切线；按路径分割表面,Blender: 刀切；Maya: 多重切割；3ds Max: 切割；Cinema 4D: 刀切/线切割；Houdini: Knife/PolyCut,,,,,,
F11,拓扑构造,平面截切,用平面与几何求交并切分；得到平整截面或两侧部分,Blender: 二分；3ds Max: 切片平面；Houdini: Clip,,,,,,
F12,拓扑构造,边界桥接,在两个边界之间生成连接面带；连接间隙,Blender: 桥接边环；Maya: 桥接；3ds Max: 桥接；Cinema 4D: 桥接；Houdini: PolyBridge/PolyFill,,,,,,
F13,拓扑构造,洞口填充与封口,依据边界生成填充面；封闭洞口,Blender: 网格填充；Maya: 补洞；3ds Max: 封口；Cinema 4D: 关闭多边形洞；Houdini: Fill/Cap,,,,,,
F14,拓扑简化,合并与焊接,将多个元素合并为共享元素；消除缝隙或重复点,Blender: 合并/焊接；Maya: 合并/目标焊接；3ds Max: 焊接；Cinema 4D: 焊接；Houdini: Fuse,,,,,,
F15,拓扑简化,溶解与冗余拓扑移除,移除元素并重建邻接关系；简化不必要拓扑,Blender: 溶解；3ds Max: 移除；Cinema 4D: 优化；Houdini: Dissolve,,,,,,
F16,重建与分辨率,细分曲面与分辨率细化,按细分规则增加采样并可平滑极限面；提升分辨率/连续性,Blender: 细分/细分曲面；Maya: 平滑；3ds Max: TurboSmooth；Cinema 4D: 细分曲面；ZBrush: Divide,,,,,,
F17,重建与分辨率,体素或均匀重网格,重新采样并生成近均匀拓扑；统一密度、合并碎片,Blender: 体素重构；ZBrush: DynaMesh；Nomad Sculpt: 体素重构；Houdini: Remesh,,,,,,
F18,重建与分辨率,重拓扑与四边形化,依据表面与流向重建面布局；生成更适合编辑/动画的拓扑,Maya: 重构网格；ZBrush: ZRemesher；Maya: Quad Draw Live,,,,,,
F19,实体组合,布尔集合运算,求并集、交集或差集；组合或切除体量,Blender: 布尔修改器；Maya: 布尔；3ds Max: 布尔 / ProBoolean；Cinema 4D: Boole；ZBrush: Live Boolean,,,,,,
F20,实体组合,壳体与厚度生成,沿法线偏移并连接边界形成厚度；将薄面变为壳体/实体,Blender: 实体化；Maya: 挤出厚度；3ds Max: 壳修改器；Cinema 4D: 布料曲面厚度；ZBrush: Panel Loops/Extract,,,,,,
F21,复制与对称,几何镜像,复制或反射几何到对称平面另一侧；得到对称几何,Blender: 镜像；Maya: 镜像几何；3ds Max: 对称；Cinema 4D: 对称对象；Houdini: Mirror SOP,,,,,,
F22,复制与对称,对称操作复制,把同一编辑动作映射到对称位置；同步产生对称编辑结果,ZBrush: 启用对称；Nomad Sculpt: 对称,,,,,,
F23,复制与对称,阵列与实例化重复,按规则重复复制或实例化；形成线性、径向或点分布重复,Blender: 阵列；Maya: 特殊复制 / MASH；3ds Max: 阵列；Cinema 4D: 克隆器；ZBrush: ArrayMesh/NanoMesh,,,,,,
F24,参数形变,轴向参数变形,依据轴与角度/曲率函数变形；弯曲、扭转、锥化或张开,Blender: 简单变形；Maya: 弯曲 / 扭转 / 张开；3ds Max: 弯曲 / 扭转 / 锥化；Cinema 4D: 弯曲 / 扭转 / 锥化；ZBrush: Gizmo 变形器,,,,,,
