source_row_id,source_part,software,source_native_tool,atomic_tool_function,source_operation_family,family_id,family_cn,macro_group,interaction_mode,mapping_basis,official_source_id,official_source_url,mapping_confidence,ambiguity_note,original_geometry_level,original_geometry_effect,original_operation_semantics
S001,1,Blender,添加网格,添加网格,基础体创建,F01,基础体实例化,生成与构造,Selection + operator,从参数化模板实例化几何；主要效果：生成标准初始体,B01,https://docs.blender.org/manual/en/latest/modeling/meshes/primitives.html,High,,对象 / 体积,添加立方体、球体、圆柱、平面、圆环、圆锥等起始形体。,形态部件——>geometry primitive——>语义基元？
S002,1,Maya,多边形基础体,多边形基础体,基础体创建,F01,基础体实例化,生成与构造,Selection + operator,从参数化模板实例化几何；主要效果：生成标准初始体,M01,https://help.autodesk.com/cloudhelp/ENU/MayaCRE-Modeling/files/GUID-C8EC81A1-46B2-498C-A759-7DC304D8B687.htm,High,,对象 / 体积,添加立方体、球体、圆柱、平面、圆环、圆锥等起始形体。,形态部件——>geometry primitive——>语义基元？
S003,1,3ds Max,标准基础体,标准基础体,基础体创建,F01,基础体实例化,生成与构造,Selection + operator,从参数化模板实例化几何；主要效果：生成标准初始体,A03,https://help.autodesk.com/cloudhelp/2026/ENU/3DSMax-Modeling/files/GUID-2B2647E7-4874-4E33-AC5A-B4684BD5E77A.htm,High,,对象 / 体积,添加立方体、球体、圆柱、平面、圆环、圆锥等起始形体。,形态部件——>geometry primitive——>语义基元？
S004,1,Cinema 4D,基础对象,基础对象,基础体创建,F01,基础体实例化,生成与构造,Selection + operator,从参数化模板实例化几何；主要效果：生成标准初始体,C03,https://help.maxon.net/c4d/en-us/Content/html/5166.html?TocPath=Coordinates%7CGenerators%7C_____0,High,,对象 / 体积,添加立方体、球体、圆柱、平面、圆环、圆锥等起始形体。,形态部件——>geometry primitive——>语义基元？
S005,1,ZBrush,工具基础体,工具基础体,基础体创建,F01,基础体实例化,生成与构造,Selection + operator,从参数化模板实例化几何；主要效果：生成标准初始体,Z01,https://help.maxon.net/zbr/en-us/Content/html/reference-guide/brush/brush-types/brush-types.html,High,,对象 / 体积,添加立方体、球体、圆柱、平面、圆环、圆锥等起始形体。,形态部件——>geometry primitive——>语义基元？
S006,1,Nomad Sculpt,添加形状,添加形状,基础体创建,F01,基础体实例化,生成与构造,Selection + operator,从参数化模板实例化几何；主要效果：生成标准初始体,N04,https://nomadsculpt.com/manual/scene,High,,对象 / 体积,添加立方体、球体、圆柱、平面、圆环、圆锥等起始形体。,形态部件——>geometry primitive——>语义基元？
S007,1,Houdini,Box/Sphere/Grid SOP,Box/Sphere/Grid SOP,基础体创建,F01,基础体实例化,生成与构造,Selection + operator,从参数化模板实例化几何；主要效果：生成标准初始体,H02,https://www.sidefx.com/docs/houdini/nodes/sop/index.html,High,,对象 / 体积,添加立方体、球体、圆柱、平面、圆环、圆锥等起始形体。,形态部件——>geometry primitive——>语义基元？
S008,1,Blender,贝塞尔曲线,贝塞尔曲线,曲线 / 样条绘制,F02,曲线与路径创建,生成与构造,Selection + operator,放置控制点或绘制路径；主要效果：生成可编辑曲线,B02,https://docs.blender.org/manual/en/4.0/modeling/meshes/editing/index.html,High,,曲线 / 线,创建导向曲线、路径、管状结构或轮廓线。,线段绘制（其实ai也能代替了）只是调用不同的模型
S009,1,Maya,CV/EP 曲线工具,CV/EP 曲线工具,曲线 / 样条绘制,F02,曲线与路径创建,生成与构造,Selection + operator,放置控制点或绘制路径；主要效果：生成可编辑曲线,M01,https://help.autodesk.com/cloudhelp/ENU/MayaCRE-Modeling/files/GUID-C8EC81A1-46B2-498C-A759-7DC304D8B687.htm,High,,曲线 / 线,创建导向曲线、路径、管状结构或轮廓线。,线段绘制（其实ai也能代替了）只是调用不同的模型
S010,1,3ds Max,线 / 样条,线 / 样条,曲线 / 样条绘制,F02,曲线与路径创建,生成与构造,Selection + operator,放置控制点或绘制路径；主要效果：生成可编辑曲线,A01,https://help.autodesk.com/view/MAXDEV/2024/ENU/?guid=GUID-B40F84EA-5F19-45B6-AA7C-0ADC77708BBE,High,,曲线 / 线,创建导向曲线、路径、管状结构或轮廓线。,线段绘制（其实ai也能代替了）只是调用不同的模型
