family_id,macro_group,family_cn,family_en,operation_role,target,mechanism,final_effect,topology_effect,inclusion_rule,exclusion_rule,evidence_count,software_coverage_count,software_coverage,evidence_strength
F01,生成与构造,基础体实例化,Primitive instantiation,创建,无→对象,从参数化模板实例化几何,生成标准初始体,新建拓扑,球、立方体、圆柱等模板实例化,不含曲线绘制、扫掠或放样,7,7,3ds Max；Blender；Cinema 4D；Houdini；Maya；Nomad Sculpt；ZBrush,Cross-software evidence: 4+ software
F02,生成与构造,曲线与路径创建,Curve/path authoring,创建,曲线/路径,放置控制点或绘制路径,生成可编辑曲线,新建曲线表示,直接创建曲线或样条,沿曲线直接生成实体归入 F27,5,5,3ds Max；Blender；Cinema 4D；Houdini；Maya,Cross-software evidence: 4+ software
F03,变换与布局,仿射变换,Affine transform,修改,对象/组件,平移、旋转、缩放矩阵,改变位置、朝向或尺度,拓扑不变,直接操纵对象或组件的刚性/尺度状态,不含带衰减或笼形变,7,7,3ds Max；Blender；Cinema 4D；Houdini；Maya；Nomad Sculpt；ZBrush,Cross-software evidence: 4+ software
F04,变换与布局,吸附与轴向约束放置,Snapped/constrained placement,控制,对象/组件,将变换限制到网格、点、曲线或轴,提高放置精度,拓扑不变,吸附或变换轴约束,整体对齐或包围盒匹配归入 F05,7,6,3ds Max；Blender；Cinema 4D；Houdini；Maya；Nomad Sculpt,Cross-software evidence: 4+ software
F05,变换与布局,对齐与包围盒匹配,Alignment/bounds fitting,控制,对象,依据轴、中心或包围盒求对齐变换,匹配位置、中心或尺寸,拓扑不变,Align、Axis Center、Match Size,逐点吸附归入 F04,5,5,3ds Max；Cinema 4D；Houdini；Nomad Sculpt；ZBrush,Cross-software evidence: 4+ software
F06,拓扑构造,连通挤出,Connected extrusion,修改,面/边界,复制边界并连接侧壁,沿方向或法线延伸体量,增加拓扑,Extrude/PolyExtrude,仅增加厚度且形成壳体归入 F20,5,5,3ds Max；Blender；Cinema 4D；Houdini；Maya,Cross-software evidence: 4+ software
F07,拓扑构造,面内缩与轮廓偏移,Face inset/outline offset,修改,面,在面内生成偏移边界,形成内嵌轮廓或边框,增加拓扑,Inset、Inner Extrude、PolyInset,普通挤出归入 F06,5,5,3ds Max；Blender；Cinema 4D；Houdini；Maya,Cross-software evidence: 4+ software
F08,拓扑构造,边角倒角与圆角,Edge/vertex bevel,修改,边/顶点,截去尖角并插入过渡面,软化或切平边角,增加拓扑,Bevel、Chamfer、PolyBevel,表面抛光归入 F34,5,5,3ds Max；Blender；Cinema 4D；Houdini；Maya,Cross-software evidence: 4+ software
F09,拓扑构造,边插入与环切,Edge insertion/loop split,修改,边环/面带,在现有面上插入连续边,增加局部控制线,增加拓扑,Loop Cut、Connect、PolySplit,任意路径切割归入 F10,5,5,3ds Max；Blender；Cinema 4D；Houdini；Maya,Cross-software evidence: 4+ software
F10,拓扑构造,自由路径切割,Freeform path cutting,修改,表面,按用户路径在表面插入切线,按路径分割表面,增加/分割拓扑,Knife、Multi-Cut、Line Cut、PolyCut,单一平面截切归入 F11,5,5,3ds Max；Blender；Cinema 4D；Houdini；Maya,Cross-software evidence: 4+ software
