software,native_tool,operation_family,geometry_level,geometry_effect,creative_scenario,operation_semantics,ai_available,semantic_replaceability,spatial_agency,system_decision,frontend_primitive,backend_action,coding_note
Blender,添加网格,基础体创建,对象 / 体积,添加立方体、球体、圆柱、平面、圆环、圆锥等起始形体。,从球体开始做头部；从方块搭建道具；搭角色身体体块。,形态部件——>geometry primitive——>语义基元？,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Maya,多边形基础体,基础体创建,对象 / 体积,添加立方体、球体、圆柱、平面、圆环、圆锥等起始形体。,从球体开始做头部；从方块搭建道具；搭角色身体体块。,形态部件——>geometry primitive——>语义基元？,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
3ds Max,标准基础体,基础体创建,对象 / 体积,添加立方体、球体、圆柱、平面、圆环、圆锥等起始形体。,从球体开始做头部；从方块搭建道具；搭角色身体体块。,形态部件——>geometry primitive——>语义基元？,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Cinema 4D,基础对象,基础体创建,对象 / 体积,添加立方体、球体、圆柱、平面、圆环、圆锥等起始形体。,从球体开始做头部；从方块搭建道具；搭角色身体体块。,形态部件——>geometry primitive——>语义基元？,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
ZBrush,工具基础体,基础体创建,对象 / 体积,添加立方体、球体、圆柱、平面、圆环、圆锥等起始形体。,从球体开始做头部；从方块搭建道具；搭角色身体体块。,形态部件——>geometry primitive——>语义基元？,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Nomad Sculpt,添加形状,基础体创建,对象 / 体积,添加立方体、球体、圆柱、平面、圆环、圆锥等起始形体。,从球体开始做头部；从方块搭建道具；搭角色身体体块。,形态部件——>geometry primitive——>语义基元？,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Houdini,Box/Sphere/Grid SOP,基础体创建,对象 / 体积,添加立方体、球体、圆柱、平面、圆环、圆锥等起始形体。,从球体开始做头部；从方块搭建道具；搭角色身体体块。,形态部件——>geometry primitive——>语义基元？,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Blender,贝塞尔曲线,曲线 / 样条绘制,曲线 / 线,创建导向曲线、路径、管状结构或轮廓线。,绘制角、头发路径、线缆、装饰轮廓、眼睑/嘴形曲线。,线段绘制（其实ai也能代替了）只是调用不同的模型,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
Maya,CV/EP 曲线工具,曲线 / 样条绘制,曲线 / 线,创建导向曲线、路径、管状结构或轮廓线。,绘制角、头发路径、线缆、装饰轮廓、眼睑/嘴形曲线。,线段绘制（其实ai也能代替了）只是调用不同的模型,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
3ds Max,线 / 样条,曲线 / 样条绘制,曲线 / 线,创建导向曲线、路径、管状结构或轮廓线。,绘制角、头发路径、线缆、装饰轮廓、眼睑/嘴形曲线。,线段绘制（其实ai也能代替了）只是调用不同的模型,有,High,Low,Semanticize,None,Semanticized Backend,可用目标、约束或语义指令表达，不必复现具体手势轨迹。 AI可用性原始标记=有；本结果仅为draft coding。
